TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-20.77177122863543,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-36.18030561558583,-36.18030561558583,-36.18030561558583,-36.18030561558583,-36.18030561558583,-36.18030561558583,-36.18030561558583,-12.664164984092563,-27.543016900713468,-12.664164984092563,-36.18030561558583,-27.543016900713468
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-44.762325100931754,-44.762325100931754,-44.762325100931754,-44.762325100931754,-44.762325100931754,-44.762325100931754,-44.762325100931754,-25.68965430190441,-22.06758025141118,-25.68965430190441,-22.06758025141118,-49.820252969052554
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-12.630639899518364,-inf,-inf,-inf,-inf,-inf,-12.630639899518364,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-49.09674965423677,-49.09674965423677,-49.09674965423677,-49.09674965423677,-49.09674965423677,-49.09674965423677,-12.097811934433551,-17.422584395184636,-49.09674965423677,-32.42227808962812,-inf,-49.09674965423677
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-32.530768703372125,-32.530768703372125,-32.530768703372125,-32.530768703372125,-32.530768703372125,-32.530768703372125,-18.267087876051885,-inf,-inf,-25.354621835740836,-32.530768703372125,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-23.064213988707287,-23.064213988707287,-23.064213988707287,-23.064213988707287,-23.064213988707287,-23.064213988707287,-inf,-23.064213988707287,-23.064213988707287,-inf,-23.064213988707287,-inf
-20.505785870590113,-20.505785870590113,-20.505785870590113,-20.505785870590113,-20.505785870590113,-20.505785870590113,-24.413893577065636,-22.260035696277974,-inf,-16.192837575576593,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-23.522163267690296,-23.522163267690296,-23.522163267690296,-23.522163267690296,-23.522163267690296,-23.522163267690296,-17.240260579265097,-inf,-inf,-inf,-23.522163267690296,-23.522163267690296
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-27.35079928801415,-27.35079928801415,-27.35079928801415,-27.35079928801415,-27.35079928801415,-27.35079928801415,-25.29917558696244,-18.546905001221198,-inf,-inf,-inf,-inf
-25.25351288081465,-25.25351288081465,-25.25351288081465,-25.25351288081465,-25.25351288081465,-25.25351288081465,-inf,-13.072519668952093,-25.25351288081465,-25.25351288081465,-inf,-inf
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
