TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
-8.236222044771042,-8.236222044771042,-17.92084336816181,-17.92084336816181,-21.714004390194255,-27.590152938582282,-14.223406795005769,-17.43989031576018,-12.459135578246386,-19.47376720815264,-16.453142862680572,-18.57992420408769
-13.196571914557433,-14.649191134210994,-15.621301158324677,-14.649191134210994,-15.621301158324677,-19.74643786652609,-18.96785600889365,-4.884945345942083,-28.401820850628283,-11.85729715041721,-14.715645945961636,-16.41951087506339
-20.84700823963963,-10.170808770106783,-10.170808770106783,-10.170808770106783,-10.068323206341855,-11.952600231458273,-16.800524936968692,-18.91766369392019,-12.481511644715352,-8.550570019262988,-11.780938403783306,-14.461308665237329
-9.817483636100194,-9.817483636100194,-9.817483636100194,-9.817483636100194,-18.815921391921393,-23.023153036668052,-25.417118428237274,-15.628026123339659,-13.349933861977856,-5.639167667102052,-23.873252544092374,-16.9415248219859
-15.551955467301351,-23.299007676330355,-26.138575172195694,-23.299007676330355,-23.299007676330355,-26.138575172195694,-1.5252317416186003,-8.294628451378797,-8.957418511226255,-14.881894334634504,-22.611320309661952,-18.66335878859604
-10.528092990435718,-10.528092990435718,-10.528092990435718,-10.528092990435718,-10.528092990435718,-14.650133601624605,-4.566849142026185,-9.216302318152337,-10.768544015362217,-23.689606130160872,-29.35420637157918,-16.307623632482333
-5.551950428472207,-6.597202478637797,-16.004014606544445,-6.597202478637797,-16.004014606544445,-16.952456191868098,-2.6152204161102506,-8.880426410982883,-28.76217454066382,-15.017575475227744,-9.05781088511913,-17.46561953547798
-23.869819838521657,-23.869819838521657,-13.369029647793553,-23.869819838521657,-11.306074122519343,-11.306074122519343,-6.439587343722165,-8.642153415461278,-9.248916485395096,-12.137182999940535,-11.174074964931282,-20.457626918150474
-21.390579130990034,-15.167216816408848,-15.167216816408848,-15.167216816408848,-16.196601354007115,-22.296853158884492,-10.252491028675943,-7.683929346756139,-12.011896359192136,-12.999795777308226,-15.551186874955153,-9.080071605537356
-12.455219624602321,-12.455219624602321,-15.445713016127332,-12.455219624602321,-15.445713016127332,-13.862361850387163,-12.732449780509887,-4.888060498695249,-4.046850178958875,-15.107201178088234,-11.492528898421044,-11.649572313843377
-7.835989841584075,-10.607180672303386,-10.607180672303386,-10.607180672303386,-11.88316849611011,-15.77611899728158,-9.866561993323353,-18.98657043459257,-17.797672972974897,-14.714471892703004,-14.844160374763906,-11.564121056199658
-6.107036273081235,-6.107036273081235,-6.107036273081235,-6.107036273081235,-7.669002525930852,-11.913633437350796,-17.057358260462433,-14.321068929865186,-6.554242266983332,-4.311416134160593,-18.761120929930936,-30.682187761125835
-14.725277561110468,-14.725277561110468,-14.078274200544769,-14.725277561110468,-16.68288249598938,-13.8125542271288,-6.740245646034734,-7.910604308103717,-16.415544840725094,-10.224767095017151,-20.581897364578182,-21.045005955176038
-12.322488736589904,-9.781969655951583,-9.781969655951583,-9.781969655951583,-9.781969655951583,-15.031884321397968,-12.774564309296125,-9.905162684020253,-7.17806775710779,-12.964139907405903,-15.895375581775378,-13.960983818225854
-13.306335124376842,-13.306335124376842,-13.306335124376842,-13.306335124376842,-19.784371497542377,-19.784371497542377,-10.518001741883502,-20.38919043794853,-9.431408942155455,-13.079308544527223,-10.096372992560582,-16.356367164283114
-13.351829801831158,-13.351829801831158,-17.99368924256275,-17.99368924256275,-20.24256070556484,-17.87467948990726,-8.57255368348007,-18.67083539493209,-17.01657036141707,-8.161428008572397,-14.813252942342297,-18.054025870146656
-9.341398437422892,-11.092511326185253,-11.092511326185253,-11.092511326185253,-15.800110556538893,-14.925786130160839,-13.90717956690593,-8.98571713827731,-13.631339820816482,-13.850883233950116,-21.612503310477766,-29.490944855137617
-8.091019390654692,-8.091019390654692,-12.37666991607573,-8.091019390654692,-12.37666991607573,-19.542316510235388,-6.884155340457591,-10.532488442729687,-12.12365595109757,-8.514607936666485,-21.577313663993287,-28.456662668749043
-4.183738476559254,-10.766957467244866,-10.766957467244866,-10.766957467244866,-24.216916601456546,-44.09222866502369,-6.4554993737819055,-13.075959696751392,-6.690401175029397,-15.617990614975712,-16.21845794218688,-23.700919234321155
-16.211196098716563,-21.05532043514067,-21.05532043514067,-21.05532043514067,-21.05532043514067,-24.311901139510717,-2.5873053885635318,-18.064721340868093,-11.935416274721868,-7.200877017147542,-21.459461015453094,-42.646888381306454
-12.11911206636698,-12.11911206636698,-19.1905226722799,-12.11911206636698,-19.1905226722799,-19.1905226722799,-9.829934776471202,-24.731280655295258,-15.791991791799248,-12.157600114964884,-12.360387659678072,-16.110021239644098
-16.41536517313649,-16.41536517313649,-16.41536517313649,-16.41536517313649,-16.41536517313649,-16.414132849528414,-12.771499058761062,-8.806874769720501,-30.261625214977066,-13.13891344380896,-17.509850979514944,-12.340415833771548
-11.895783800421924,-11.895783800421924,-11.895783800421924,-11.895783800421924,-11.895783800421924,-23.01214107559535,-11.298966213176499,-24.124439790839066,-21.48294886196492,-15.190518816564273,-17.426983916629325,-24.268546109436993
-21.859736574858392,-21.859736574858392,-20.398720472021775,-21.859736574858392,-20.398720472021775,-20.047879901856458,-15.822155222843941,-14.351565955500316,-14.887918368673798,-15.897281853721402,-20.62933909313777,-19.282387431799727
-13.500174296984671,-13.500174296984671,-13.500174296984671,-13.500174296984671,-17.68618195497515,-16.138673265091768,-6.224632930454242,-9.022113056746665,-14.429252700303971,-8.789334896736596,-11.38390789223874,-19.222299114705407
-13.870994644255738,-19.297326887197453,-19.297326887197453,-19.297326887197453,-16.251984764225305,-19.413853920641866,-13.00480826987207,-5.697856150326465,-11.093769531774232,-9.70678339701212,-11.587690229032068,-21.610490249394097
-11.12300429271878,-11.12300429271878,-11.12300429271878,-11.12300429271878,-19.305076707658714,-17.66046635182322,-18.48781688806923,-17.68835865397897,-9.218482682871405,-11.084395223106434,-12.836695723539853,-13.529459227791898
-15.762612388786096,-15.762612388786096,-15.762612388786096,-15.762612388786096,-15.762612388786096,-19.81398712864199,-23.272069876312166,-6.632431956009875,-11.193743571495267,-21.818760893399798,-12.924828951942535,-19.974847071557416
-14.635877188679679,-14.635877188679679,-14.635877188679679,-14.635877188679679,-33.61104890643472,-23.579337691618363,-11.997675689710546,-16.93300923836825,-15.772044789534343,-14.297328497747035,-18.592596357592097,-14.057582896889224
-15.304722802458397,-15.304722802458397,-15.304722802458397,-15.304722802458397,-15.304722802458397,-15.304722802458397,-6.42701602299905,-9.883611351747222,-13.419595152184282,-13.398013399710273,-10.044275462641675,-15.430512310625561
-13.277252798637528,-13.277252798637528,-13.277252798637528,-13.277252798637528,-13.277252798637528,-10.191108634632297,-11.177201712242333,-9.629286103939252,-12.771165527095603,-10.070725204550833,-18.152133790017302,-36.14705692592163
-7.059357250775877,-19.080714130710923,-19.080714130710923,-11.400555152624586,-19.080714130710923,-19.080714130710923,-19.614348679241346,-6.445060260506299,-10.837206054207433,-13.765110167746125,-13.660214782778102,-27.574411590356526
-10.2524265764164,-10.2524265764164,-10.2524265764164,-10.2524265764164,-9.472191468297531,-14.334611462834435,-4.139546200109882,-10.361520311771123,-14.91189689528029,-23.879394305117742,-13.898951586692931,-14.083864911663518
-13.479114526055817,-13.479114526055817,-13.479114526055817,-13.479114526055817,-15.84213736019265,-16.001148273926088,-10.9638997688838,-12.462705368512028,-10.831666191818757,-9.010442267187177,-14.124904359806019,-20.260224795310403
-19.061994140306467,-19.061994140306467,-19.061994140306467,-19.061994140306467,-18.9251836032869,-18.17308225775863,-8.541762492098963,-9.66681731266554,-5.622647838846523,-16.346757223801106,-15.19233510057082,-21.774585889183186
-23.543255305452465,-23.543255305452465,-23.543255305452465,-23.543255305452465,-23.543255305452465,-15.929811032535554,-10.356282770011216,-40.3880287295548,-6.416593730121397,-17.828805469411794,-5.806112517424173,-23.810389515947893
-10.921575335749715,-8.099405053585448,-8.099405053585448,-8.099405053585448,-8.099405053585448,-9.278558086314707,-6.036528969802922,-11.569298999280143,-11.337146794736766,-14.543189478279741,-14.387182503164597,-19.504829568020366
-16.479460257498005,-25.581433628604977,-25.581433628604977,-25.581433628604977,-25.581433628604977,-25.581433628604977,-7.046865419086319,-3.325610489881975,-21.689633699878982,-8.972832840392417,-16.948272687524796,-29.9139178940149
