TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15,TpsRandomic + IndividualEstimated_INR + -10,TpsRandomic + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -15,TpsRandomic + CumulativeIndividualEstimated_INR + -10,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -15
15,15,13,13,12,11,10,9,10,9,7,7
15,14,13,14,13,12,14,11,10,9,7,5
15,13,13,13,12,10,12,9,9,5,6,6
15,15,15,15,14,13,11,12,11,12,12,10
13,12,11,12,12,11,10,12,9,8,9,6
15,15,15,15,15,13,13,11,12,12,9,8
15,14,13,14,13,12,12,11,11,10,9,6
15,15,14,15,13,13,14,13,10,9,11,8
15,14,14,14,13,12,9,12,10,10,9,6
15,15,14,15,14,12,9,9,9,7,6,6
15,13,13,13,12,10,9,7,7,8,8,7
15,15,15,15,12,10,10,8,10,7,5,4
14,13,12,13,11,9,9,7,5,8,9,5
15,14,14,14,14,13,13,12,12,11,11,11
14,14,14,14,13,13,12,13,11,12,9,9
15,15,14,14,13,12,12,11,11,11,9,6
15,14,14,14,13,12,12,11,7,10,7,6
15,15,14,15,14,13,12,11,9,13,10,9
14,12,12,12,11,9,8,7,10,9,6,7
15,14,14,14,14,12,12,12,8,8,11,5
15,15,13,15,13,13,12,12,9,13,9,8
15,15,15,15,15,13,12,12,11,9,9,8
14,14,14,14,14,12,10,9,9,11,8,8
14,14,13,14,13,12,13,9,10,9,7,6
15,15,15,15,14,13,14,13,9,11,9,7
15,14,14,14,13,11,9,10,10,12,9,4
14,14,14,14,12,10,6,8,11,8,5,7
14,14,13,14,13,12,12,10,8,11,9,6
14,14,14,14,13,12,11,11,9,13,7,7
13,13,13,13,13,12,13,8,10,9,8,7
